instrument1,instrument2,period,frequency,correlation,repeat
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,20ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,1
