instrument1,instrument2,period,frequency,correlation,repeat
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,5S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,10S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
