instrument1,instrument2,period,frequency,correlation,repeat
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,1
